Minisector,PER,ALO,Fastest
0,305.93383687101993,301.04494736128095,PER
1,235.43982800391402,230.6516954019159,PER
2,133.15415481908056,127.88922286953172,PER
3,228.65101614808927,235.975832183296,ALO
4,195.07958099331395,194.10544624470435,PER
5,246.01911179744107,244.08800194066026,PER
6,231.8291563445421,230.9082035058128,PER
7,260.6174989019734,259.3988823373699,PER
8,287.0515511203078,290.59143002732515,ALO
9,202.97111049142856,206.504999845152,ALO
10,207.39061656971904,212.88695347958918,ALO
11,268.83035595663796,273.0461013818034,ALO
12,212.92607900154195,210.06343502157551,PER
13,248.95251418891445,257.22203289231516,ALO
14,291.7124926254994,293.2511283731553,ALO
15,308.0189765101449,307.6043481174026,PER
16,305.438027981118,304.050409063663,PER
17,217.01313465288325,212.21486209182015,PER
18,261.3380623406338,262.8717614576536,ALO
19,295.2432439674459,294.67954898031746,PER
20,310.4169283980381,309.05948903232047,PER
21,309.8635750472934,308.8906763336795,PER
22,152.8087752456242,147.18363644682915,PER
23,232.95314380695748,235.48619393532746,ALO
24,285.71928675897436,287.20201779007715,ALO
25,296.49999872,,PER
