Minisector,BOT,OCO,Fastest
0,292.902976152381,317.55666613333335,OCO
1,295.22687498666664,329.25019495416444,OCO
2,296.42324564210526,335.0196759703704,OCO
3,237.64871213898496,222.14407216410257,BOT
4,239.6027067848812,222.4515721590806,BOT
5,119.37720395018545,112.0447634611616,BOT
6,219.44660543209878,212.3617548952381,BOT
7,270.0965128489796,264.3948406349206,BOT
8,240.2646407192381,224.92466998921378,BOT
9,118.68357647479735,115.74138267354448,BOT
10,236.95514464368313,232.26583244190476,BOT
11,259.17543315670997,243.49891334492753,BOT
12,140.1993841196099,135.12698883809523,BOT
13,215.82868620227867,212.40679106877022,BOT
14,271.63595133339135,266.74608803265306,BOT
15,238.0402881584762,219.88905340613758,BOT
16,158.87829284044872,156.8003459259259,BOT
17,241.36998964444444,234.78990262046298,BOT
18,125.42668293097695,123.43654949487727,BOT
19,151.5357858021661,144.99177115047618,BOT
20,201.60336450311988,192.28293833760543,BOT
21,262.4725313559984,256.6277590441559,BOT
22,279.24666656,274.0552354927829,BOT
23,285.2962299936508,282.64714896842105,BOT
24,293.12158965703316,292.08832177052153,BOT
