Minisector,STR,RUS,Fastest
0,297.8149891590329,304.13377677294363,RUS
1,306.8290818612245,315.13244053333335,RUS
2,312.7625001025641,321.6064897831339,RUS
3,313.6955782965987,316.6509613538461,RUS
4,203.30725846511524,198.523974591603,STR
5,94.57309253333334,104.54542029151477,RUS
6,196.36272777437037,212.68218587439387,RUS
7,254.901226227451,259.60413302507106,RUS
8,282.708334,283.6855560838095,RUS
9,286.5452504910441,289.36587836988264,RUS
10,149.54688795202821,152.70292292439404,RUS
11,166.9013466588268,185.0862480784146,RUS
12,239.99019708235295,244.6395835005291,RUS
13,242.93200883809524,242.7709991236623,STR
14,147.41515867543347,159.2834561361383,RUS
15,205.08174775873016,222.48472274850087,RUS
16,258.7328877714286,263.9243948373728,RUS
17,282.2589367511235,283.5923210849812,RUS
18,295.64920663365075,294.44187944489795,STR
19,299.6997221688889,297.749107047619,STR
20,284.95838081652346,284.3053378068812,STR
21,147.86758580603873,157.9231029557517,RUS
22,201.81468464761903,213.32206333369305,RUS
23,257.7928615093756,261.1002458352941,RUS
24,284.7636120888889,284.84374953450504,RUS
25,,292.75833386666665,RUS
