Minisector,VER,GAS,Fastest
0,235.51600593748864,235.92100173249108,GAS
1,284.93366626133337,283.5285947211303,VER
2,299.4076666819048,297.61133329066666,VER
3,303.1604167111111,305.12961314920636,GAS
4,271.0021038576538,269.6795195625737,VER
5,169.59392200221484,167.92222716219513,VER
6,264.12082825393014,263.6710287637355,VER
7,283.029999872,281.79980800237826,VER
8,212.78995105065945,216.78197597045695,GAS
9,222.3004831580402,222.35351880948394,GAS
10,183.07887509435565,185.58678157432337,GAS
11,228.24548887445675,229.4381002419751,GAS
12,208.8970740345679,202.38600249296877,VER
13,217.47376443648227,211.6683360184668,VER
14,223.20410844292772,224.82600217514454,GAS
15,177.9362452476111,181.8291600596703,GAS
16,247.6613030592819,251.02969413034074,GAS
17,287.40788064914284,288.2633335466667,GAS
18,302.177833216,301.1719202318841,VER
19,294.2222240888889,290.4702461733732,VER
20,131.68841460952382,127.91703827775197,VER
21,162.85817933037626,161.49410487793807,VER
22,148.47892751580514,150.74335661318378,GAS
23,204.56556267537414,200.82634519769695,VER
24,145.9797071982381,147.41416637535937,GAS
25,180.49166293333334,,VER
