Minisector,GAS,NOR,Fastest
0,293.61216931216927,300.60758380811285,NOR
1,235.8629892392157,239.04318131722152,NOR
2,132.65431335672514,131.9895233220487,GAS
3,240.46600787142856,239.2851559,GAS
4,194.43385424000002,189.43235484588718,GAS
5,243.45101991485828,246.47623794087517,NOR
6,231.4369920717087,232.75791786157885,NOR
7,252.31182576253968,258.8815376713574,NOR
8,282.04204111798566,285.2594137679012,NOR
9,208.62522427387387,207.21545677975698,GAS
10,206.6789327685043,203.6477008926641,GAS
11,266.6093113469388,271.146018384297,NOR
12,212.38337154253333,209.7533584019208,GAS
13,248.44220462795698,249.4954570415533,NOR
14,286.1431968957156,291.44767667990766,NOR
15,296.93466666666666,303.54016674133334,NOR
16,292.1500844794651,298.7972754051282,NOR
17,239.20584047142856,233.0998302091615,GAS
18,267.4291648111092,271.6846732571429,NOR
19,292.4788580740741,297.9941831892818,NOR
20,296.6612641096325,303.14633326933335,NOR
21,288.45817896296296,292.858544747231,NOR
22,155.37330328273345,151.92581596862746,GAS
23,234.18598911196776,238.99005511766512,NOR
24,285.4237181128205,287.94566580574354,NOR
25,294.3833322666667,,GAS
