Minisector,NOR,RAI,Fastest
0,300.57807968198756,300.6454054046011,RAI
1,302.2496212363636,301.57537881212124,NOR
2,249.74532489288532,263.94765873258734,RAI
3,151.89964844391824,152.20499729042723,RAI
4,162.50644966297696,172.60165189794247,RAI
5,211.86931667342466,212.84958673204025,RAI
6,224.98928107583464,231.8968511008788,RAI
7,211.42711415896554,210.96357069405533,NOR
8,261.92674686914904,264.18374652450717,RAI
9,258.62425599263656,258.52796608243284,NOR
10,274.99795839752306,271.7290178985239,NOR
11,273.46362692180884,274.4249998310559,RAI
12,273.9041668888889,270.3028335847619,NOR
13,260.44449852342854,260.0162561423163,NOR
14,176.91609808364865,172.01210117147176,NOR
15,243.52764950582923,236.69709424469573,NOR
16,207.0565828563668,210.80215248417818,RAI
17,171.84695570345744,168.38175990001454,NOR
18,256.5673029184787,255.81867245216824,NOR
19,284.9297860256253,283.82326024209976,NOR
20,250.69857671351548,252.01819027985346,RAI
21,188.07033915948318,184.85929887307194,NOR
22,255.75098100557847,256.21457970009413,RAI
23,284.34088958508215,284.36303882943525,RAI
24,296.31306804848487,295.76669483537415,NOR
25,,300.0,RAI
