Minisector,PIA,ANT,Fastest
0,310.0209625242236,305.5904745354184,PIA
1,240.03435913982923,241.12829160655707,ANT
2,130.28995513843418,131.70189219758845,ANT
3,231.03178681360546,236.29763807898567,ANT
4,193.14546252290194,196.49424618691756,ANT
5,250.12198812380953,247.84841368611924,PIA
6,233.88423646875128,227.49130032500446,PIA
7,258.81795003768985,258.3870902246844,PIA
8,295.57988856238734,292.851358350343,PIA
9,198.54617597247537,209.74958164708664,ANT
10,204.51210004667408,202.76515224675882,PIA
11,276.0991234871593,271.7677532568116,PIA
12,218.37568466732785,212.43419986721992,PIA
13,255.10585581230302,251.93940186657866,PIA
14,294.69386458882786,293.1640888370036,PIA
15,312.19211518499276,308.6951186905641,PIA
16,312.083682837458,306.75766333217393,PIA
17,205.32576793333465,206.24346433206972,ANT
18,263.4477814493531,264.95392440721974,ANT
19,299.3147245845749,296.40943802265605,PIA
20,313.3263911068783,311.57973389959454,PIA
21,312.7057183238095,311.3959463204551,PIA
22,147.52976872327685,149.74267682733935,ANT
23,234.9692699875329,238.26361999351946,ANT
24,289.12884749150413,287.1051888855603,PIA
