Minisector,PER,BOT,Fastest
0,243.83464134133908,249.6927316597456,BOT
1,276.35126775652174,283.51902172753626,BOT
2,189.4589672008931,179.04451004490858,PER
3,151.50888887071469,156.8459193013248,BOT
4,257.77344579009815,258.9646666666667,BOT
5,269.099613030607,263.9054587281693,PER
6,219.26463602868176,210.77708333333334,PER
7,201.5784393745228,192.2261758916974,PER
8,152.0204885087156,151.18973355496473,PER
9,209.48796927591908,212.57135416666665,BOT
10,271.96857080076194,270.7931393755933,PER
11,126.45091483397044,122.47664399098485,PER
12,205.36472166273754,215.21740389444295,BOT
13,267.79499942399997,272.4415347785209,BOT
14,287.13066720309075,293.6608210570259,BOT
15,293.59257252173916,302.69909421449273,BOT
16,251.3811384346522,224.08820680376695,PER
17,135.53919050893813,132.2283800112299,PER
18,130.0415860948986,130.2273410817138,BOT
19,121.42160081090567,118.44812626759175,PER
20,221.4109693136225,228.64275450640395,BOT
21,250.92746850088184,250.06165162818547,PER
22,238.49406152366893,224.40635556374806,PER
23,217.89231816666666,203.75206837369035,PER
24,140.10113623538652,139.32347890514248,PER
25,214.0,,PER
