Minisector,HAM,PER,Fastest
0,297.7533770178958,297.4343625535353,HAM
1,225.03533011674662,217.220113400685,HAM
2,231.41943866920926,230.59439611989023,HAM
3,277.29851057012576,276.53748987716307,HAM
4,247.73490686788767,245.88681989594303,HAM
5,130.5431826382074,132.57548787655284,PER
6,212.74547124370116,204.8404853186977,HAM
7,262.2047462460229,256.88269222890267,HAM
8,254.56326635267826,262.27974260016896,PER
9,244.2700701465819,243.90101773253247,HAM
10,274.57708633293123,277.36874772206204,PER
11,290.8835490457143,293.243062344696,PER
12,297.698206054321,302.5405038059422,PER
13,300.9802400875176,307.2261140991087,PER
14,296.2762999707268,307.44779390802137,PER
15,258.70694973308593,272.7217119745992,PER
16,249.32064895629716,244.8154847352981,HAM
17,278.3891690057836,278.84856654545456,PER
18,289.97823529809017,291.98757171437336,PER
19,159.10792780021973,157.23970126554192,HAM
20,212.0191228160031,213.8587528707626,PER
21,204.7820179439653,198.76575114099916,HAM
22,136.55771370105015,143.45771719852627,PER
23,243.95849424241646,240.9222952992477,HAM
24,280.3081356504473,285.8104802666667,PER
