Minisector,HAM,ALO,Fastest
0,265.91659186668693,273.64541836229625,ALO
1,286.2019895750549,290.1623988578897,ALO
2,273.840884352,279.2057450946336,ALO
3,156.70559609881138,162.31618063350064,ALO
4,190.41592393484527,190.45680780490724,ALO
5,173.5457419670366,172.53866206400576,HAM
6,164.14458277812815,167.14100412011595,ALO
7,186.70641059918367,188.33458595861313,ALO
8,238.45875419872237,241.54647346234256,ALO
9,220.68994167816712,238.3355125639171,ALO
10,143.86362031707696,145.24063833365346,ALO
11,221.89487713234666,213.6874007055241,HAM
12,107.05022953163403,112.91071100964535,ALO
13,214.78751030227272,203.7726771928454,HAM
14,263.44992621670457,264.10442879521736,ALO
15,271.82132472573187,277.1271066209524,ALO
16,170.1455945727974,193.38630643504126,ALO
17,157.33457505861523,156.11697446925652,HAM
18,250.60575250668896,251.59599538794677,ALO
19,275.27112630273194,281.33884690216996,ALO
20,290.205843733686,293.7323948468864,ALO
21,278.25555259800234,293.90604854897776,ALO
22,233.45054493563302,256.9227229744136,ALO
23,99.32899661439481,96.58507071903054,HAM
24,220.55253066777072,211.54478477791685,HAM
25,,257.7857127619048,ALO
