Minisector,HAM,GAS,Fastest
0,311.4287035851852,307.237037037037,HAM
1,238.84523398095237,237.9873196057971,HAM
2,136.77136368617246,135.86198038563356,HAM
3,220.70328900295917,217.26046598095238,HAM
4,264.64234607835715,264.9892449515673,GAS
5,290.7865199327731,289.29851183068786,HAM
6,301.5416391403249,304.4843137254902,GAS
7,283.21162487017546,285.2321744590089,GAS
8,179.14597415553226,171.08694432,HAM
9,242.38645114195012,236.76391304347825,HAM
10,271.2674531664722,273.5622807017544,GAS
11,260.1344590997494,262.4888888888889,GAS
12,209.6225281206707,197.78358024691357,HAM
13,127.53898313833815,131.14812748339142,GAS
14,128.25770561870797,121.66708773606861,HAM
15,161.14922021640746,169.94978006040006,GAS
16,127.14192532071772,120.56331678405317,HAM
17,233.30549445145667,222.541002719884,HAM
18,183.6870655938056,190.53227509276897,GAS
19,165.3140739662932,151.3581601951125,HAM
20,250.7153419151515,244.90833333333333,HAM
21,279.96299568253966,276.57826600039743,HAM
22,298.0236767177346,293.45462957037034,HAM
23,315.083088627451,303.0273109243697,HAM
24,324.1308127398966,308.13914111944644,HAM
25,,311.1778246218378,GAS
