Minisector,NOR,HAM,Fastest
0,308.7430213422222,312.3575115940741,HAM
1,189.54582891032427,192.2253825635222,HAM
2,111.56317294618017,107.9201540839137,NOR
3,189.11771511343773,194.53653941404838,HAM
4,253.1882381439923,255.87076424078103,HAM
5,282.5428567695238,285.21049409930157,HAM
6,299.3022397696192,301.75347544177106,HAM
7,235.63603213561905,230.92595277015474,NOR
8,146.1280794784163,141.38523933945018,NOR
9,228.39055806048455,223.94899769972042,NOR
10,269.62490545015874,269.50286972064856,NOR
11,225.98010543264573,237.2670012157899,HAM
12,177.7790875629932,174.32220537102222,NOR
13,108.25343787448281,103.77486066570526,NOR
14,103.91661753102453,104.40508366677268,HAM
15,136.1037887809555,139.17071177146448,HAM
16,111.78247106365964,110.74285377756749,NOR
17,206.3317618583851,201.83079130560827,NOR
18,162.29023210185056,145.84169929863526,NOR
19,147.6967231176407,149.71058930400838,HAM
20,239.69743138533303,241.43888220857062,HAM
21,272.9226999737374,275.2105003586131,HAM
22,291.2816954697143,296.6998428977778,HAM
23,302.41171971573687,309.0157245226494,HAM
24,308.1886058597373,315.2682737904762,HAM
25,310.0,,NOR
