Minisector,BOT,HAR,Fastest
0,256.481769,244.97685222665177,BOT
1,296.40175939229124,282.0063492063492,BOT
2,171.2435415292517,174.89734783478028,HAR
3,163.7084350626114,158.94716598435355,BOT
4,258.6760820107418,254.82618874812658,BOT
5,273.78484970596315,271.12099673926394,BOT
6,237.6211324888889,224.3653809042097,BOT
7,207.9268261595041,199.34846068352766,BOT
8,159.50970758714712,159.6462060427802,HAR
9,217.03105591794872,215.45499918696623,BOT
10,273.49385971618165,268.8113872200013,BOT
11,128.158428178751,130.56202113521667,HAR
12,217.76254759033176,210.4533495760141,BOT
13,278.55001499829916,272.5586511622983,BOT
14,301.21747205445655,295.04357116190477,BOT
15,310.7990738962963,303.9456140350878,BOT
16,242.14310117244514,247.19214714648828,HAR
17,128.2381209109731,128.7559688404193,HAR
18,129.70193928965548,125.40935142720392,BOT
19,117.45668926700671,117.92286248830295,HAR
20,229.716722176,221.76929905347984,BOT
21,254.95727704962718,252.29790041672783,BOT
22,235.99316714666668,234.9553090095238,BOT
23,215.51879059878047,211.9935182241883,BOT
24,137.73660529664656,132.99720855441214,BOT
25,,216.0,HAR
