Minisector,SAI,BOT,Fastest
0,321.6554026816506,324.40905905573317,BOT
1,328.53409090909093,334.0350906702948,BOT
2,324.5268542251026,338.95286260819046,BOT
3,204.85844379099098,189.13566986285713,SAI
4,120.46691197978983,121.65344820229885,BOT
5,264.8270592490508,268.0515172228278,BOT
6,301.37226586190474,306.5479166666667,BOT
7,309.6542184679089,322.4734848969697,BOT
8,274.68146246424556,279.8103740702828,BOT
9,146.87947643128842,141.04928897326067,SAI
10,222.03742764329004,230.59725461136713,BOT
11,219.15460191869633,212.23409018511666,SAI
12,202.58749884444444,197.655442445541,SAI
13,270.43778783369333,270.79444448395066,BOT
14,304.9479972167328,311.98754140183223,BOT
15,313.2031197537958,330.21648288013034,BOT
16,262.0933020952381,267.7510174115384,BOT
17,210.52363105025137,196.5936039226178,SAI
18,274.3164289584762,269.46661817325025,SAI
19,306.36436958023387,308.45316117321215,BOT
20,315.33020189151136,325.5151515151515,BOT
21,300.9460167616841,316.360981068739,BOT
22,213.18112038592065,205.89288410517887,SAI
23,266.5996701232358,264.5728297473834,SAI
24,303.819125344,307.0584324698413,BOT
