Minisector,LEC,PER,Fastest
0,301.5524320950458,298.4795303957672,LEC
1,210.02574200060064,218.18214749308407,PER
2,231.38814742439962,227.50144571213676,LEC
3,279.68816125709793,275.3559981000448,LEC
4,248.00143230454108,238.18272908307694,LEC
5,126.79428924150963,126.52202467885132,LEC
6,215.40027506349708,211.20900859311357,LEC
7,267.35519685514737,264.7626830548753,LEC
8,248.85899469793586,256.59173814214876,PER
9,240.25089051165568,245.35851001109629,PER
10,279.3100173078852,280.03738544,PER
11,296.0192848048073,298.1117259312472,PER
12,311.9265208967145,306.9346976186667,LEC
13,323.2314943068501,310.5075065312169,LEC
14,326.26055559111114,307.6548723875969,LEC
15,270.9150268659377,271.35701454343683,PER
16,247.5877940231511,246.46731538655217,LEC
17,287.864908051948,281.42944213333334,LEC
18,310.3886002734362,289.4482072436153,LEC
19,156.52853044018687,154.29304633452838,LEC
20,214.28322233843244,207.40545727407593,LEC
21,192.1186176618082,183.67082567021254,LEC
22,141.83327389342406,142.32599535925752,PER
23,239.5022457385908,239.59714236720686,PER
24,283.80764177577583,285.71414856922803,PER
25,296.71666773333334,,LEC
