Minisector,RUS,BEA,Fastest
0,244.40849207505065,248.33499344511503,BEA
1,284.4680790341818,284.737499952,BEA
2,181.8553309336312,163.11658635676338,RUS
3,159.20962786166683,155.60030850584695,RUS
4,255.12869014516926,254.16620999346995,RUS
5,264.96192443919716,269.245641420951,BEA
6,235.41110832245076,235.88483028223143,BEA
7,211.58540100391926,200.57628596899573,RUS
8,161.64891371077314,161.37271306781554,RUS
9,211.31875606471243,214.77925862442223,BEA
10,269.85533969850337,269.85835983170483,BEA
11,129.10306334559542,125.43193841721781,RUS
12,207.4512004511611,216.0953551331482,BEA
13,273.41527931759833,277.1513415248198,BEA
14,296.3018326202398,304.8712175511203,BEA
15,306.9305295829801,319.23715535772766,BEA
16,251.696824213665,215.28897265786023,RUS
17,128.57553744133037,128.80659312613912,BEA
18,128.6068882028163,130.65016540388007,BEA
19,116.774340035008,120.26088944346361,BEA
20,221.56414118115484,219.7667510691763,RUS
21,259.82733592613545,255.13502366083674,RUS
22,239.74624956590077,234.67204765302253,RUS
23,215.8748397423029,213.2241775892421,RUS
24,138.84887136305787,137.8773001401517,RUS
