Minisector,PER,HAR,Fastest
0,282.8156804121301,285.28506646293266,HAR
1,241.32086097737005,246.50382802118708,HAR
2,267.8027777408238,268.74771774814815,HAR
3,277.21957294552135,282.94511942019665,HAR
4,127.10789773993712,126.40750918231116,PER
5,214.34733214717994,216.61413045684696,HAR
6,267.74008904820494,267.11609439621685,PER
7,287.42852639160185,289.2986384058152,HAR
8,297.17156856470586,298.19444455144287,HAR
9,302.43571976576817,304.376525355519,HAR
10,302.9841652799479,269.33520460068274,PER
11,110.97682282333173,101.63268716177451,PER
12,212.19543589382502,231.70993218217862,HAR
13,270.84614927423655,274.23085502162496,HAR
14,281.0895786039642,249.5969396294256,PER
15,131.71344126712364,133.08406069164147,HAR
16,201.7111303382221,215.30394071309303,HAR
17,257.9356028742013,262.98625111829665,HAR
18,254.15596695020741,249.03773606200488,PER
19,242.79909125673674,247.06647736711187,HAR
20,145.9183170881957,135.77647762467797,PER
21,188.3771388176517,209.35219482496325,HAR
22,176.87657023326895,164.3014690895495,PER
23,182.90625357033974,195.68834627086264,HAR
24,250.73488082285712,257.21350592836205,HAR
