Minisector,PER,HAR,Fastest
0,307.7057984,281.9559041333333,PER
1,156.5273537076302,155.86683769076245,PER
2,158.19164621440038,154.91366917223166,PER
3,205.15458817354727,219.44726786206897,HAR
4,282.9925520265895,281.2111382392725,PER
5,298.4981066666667,291.7507579636363,PER
6,151.54578044803733,146.51638864216474,PER
7,137.30993154883672,135.92263868981803,PER
8,160.45145925436427,147.20875951597603,PER
9,161.5537328557246,168.55397606186278,HAR
10,133.8545862248676,130.44818226286327,PER
11,128.81377505682607,123.50189017257705,PER
12,149.39896949744187,155.44874761480338,HAR
13,261.3037196591618,258.5738335619048,PER
14,289.7543177291007,282.3721130734523,PER
15,153.46746434949338,149.9409126198746,PER
16,214.39428864367818,206.08608915268817,PER
17,151.3615169268511,157.2074314619256,HAR
18,263.523515945736,262.0694810884906,PER
19,291.7107953454545,285.2554347594203,PER
20,303.7721874133333,296.9478015635657,PER
21,314.0602101727671,303.46174933094636,PER
22,319.49062517333334,307.85714284190476,PER
23,324.44358087692115,311.8091548556413,PER
24,322.65947441269844,308.7031250133333,PER
25,,307.85,HAR
