Minisector,BOT,SAI,Fastest
0,310.2617119890284,306.43301321025643,BOT
1,239.06388806464645,237.49349799206368,BOT
2,131.43012905584038,130.56982603370218,BOT
3,239.39502618108074,240.24092087142856,SAI
4,186.1225261000414,185.29403538484124,BOT
5,245.4231025498819,247.58750021505378,SAI
6,227.1004896362007,227.83455601563065,SAI
7,256.66599497634405,255.152058182115,BOT
8,293.43427445144323,291.2009669432734,BOT
9,205.3479159338346,206.31963239446324,SAI
10,205.6702754978918,205.04808778378379,BOT
11,274.8185163047619,274.30845750530614,BOT
12,211.31703261983918,212.9939797037037,SAI
13,251.5402247973153,244.16031394666666,BOT
14,294.134833069545,290.0168879181658,BOT
15,311.4759647751608,312.68911015898726,SAI
16,314.5069789740865,319.934166144,SAI
17,225.83733500656157,220.0069047616537,BOT
18,269.9005509939607,263.24152404597703,BOT
19,304.20316680533335,296.7947535407407,BOT
20,320.7797010692461,318.23802124444444,BOT
21,318.41173092698415,324.7349738195583,SAI
22,148.62140827733896,152.2056376824978,SAI
23,237.83638927493627,230.10107786493882,BOT
24,299.246723102188,297.54188202666666,BOT
25,313.6166666666667,313.5249994666667,BOT
