Minisector,MAG,HUL,Fastest
0,230.50109062474067,228.78745317325107,MAG
1,279.3837689892846,278.73279904022075,MAG
2,295.6074743311592,294.06785846219077,MAG
3,302.63599769977327,303.1010629688766,HUL
4,271.8577302517556,264.1419381700336,MAG
5,167.19292804309126,163.98717238533217,MAG
6,256.8956053282389,257.9152775432511,HUL
7,278.21012082158524,278.8693183030303,HUL
8,218.47390224227593,214.79409346458675,MAG
9,218.64625976472277,218.15316399523314,MAG
10,184.6653428283033,184.41904991238042,MAG
11,222.99317359042792,220.18254169739726,MAG
12,206.87685760413785,205.32341033271058,MAG
13,215.33374980565597,211.79262499763664,MAG
14,225.12424977774185,219.921937839812,MAG
15,179.09651712728188,177.57394038625094,MAG
16,245.50080944070166,245.0381373289562,MAG
17,283.73376265975094,283.32373916263475,MAG
18,297.9850576385157,299.60607920679314,HUL
19,291.35133796943927,295.39431883636365,HUL
20,133.81366612770913,127.73879453661617,MAG
21,167.31153783993966,155.5490339579834,MAG
22,144.1596273376659,158.657608686043,HUL
23,207.47244645608555,196.9479931285714,MAG
24,144.32155344469584,147.10732555466618,HUL
