Minisector,PER,SAI,Fastest
0,304.5251009197848,304.81765782588235,SAI
1,238.783278799552,256.87167625067605,SAI
2,126.96122338500594,126.25531077207998,PER
3,242.3046287664261,239.22700824130965,PER
4,189.87999180268963,186.43036034836035,PER
5,248.10733536234346,247.94270741351474,PER
6,233.82120216997427,231.89984930108966,PER
7,257.9067521220838,251.46724405684984,PER
8,291.26323010077925,289.3667431446778,PER
9,199.3206198723986,207.75549681962482,SAI
10,199.22454689023857,198.68408864420346,PER
11,272.0243614371848,270.37492921668223,PER
12,211.29900116813852,211.68565813471864,SAI
13,250.12624828472482,246.80769101418002,PER
14,290.75981573333337,288.67997888487616,PER
15,307.4681968181521,305.48579844697264,PER
16,309.1143442144108,306.67817442539683,PER
17,212.86931547649968,207.326172796712,PER
18,262.25817636200014,256.5224531609977,PER
19,295.11545596275135,291.9957819892511,PER
20,309.82688490522594,307.26305615671,PER
21,312.2462794648196,310.3415044631457,PER
22,154.75367087404277,156.79865198720856,SAI
23,229.70396837315022,225.39725901827248,PER
24,286.9079881576434,285.1984553902765,PER
25,,299.0,SAI
