Minisector,PER,NOR,Fastest
0,291.7931874806187,301.10916598897967,NOR
1,309.6771931508772,320.6419484150376,NOR
2,317.45424389135803,328.98250537724783,NOR
3,311.663389677586,325.01480081676203,NOR
4,198.05638774349205,198.00038877604675,PER
5,220.45585602065154,226.32913521550975,NOR
6,265.6707819064182,271.1571232193404,NOR
7,270.4123099151515,269.4306897252304,PER
8,197.5243069534097,193.25011518525346,PER
9,161.83485690800026,155.89816897405473,PER
10,181.25188910833333,186.25656722331078,NOR
11,256.2660260980115,263.3299683710145,NOR
12,252.49888035352382,252.80533422933334,NOR
13,233.56673600000002,233.1286980588401,PER
14,272.23185247410197,276.39126963809525,NOR
15,177.56033995319726,176.9055811367667,PER
16,221.10334087082717,220.8206780839506,PER
17,247.5640906002384,236.34813389152873,PER
18,137.40691553280524,135.71261485140397,PER
19,241.1919133979145,246.13433491237225,NOR
20,277.8620750157224,285.9383500770975,NOR
21,256.00819737613523,249.43679669793033,PER
22,148.80436482902493,142.25620223141723,PER
23,213.17499956721784,209.18745632489524,PER
24,269.78884204611524,273.8135818805195,NOR
