Minisector,PER,RIC,Fastest
0,286.40515393729436,283.48104149333335,PER
1,310.9216185682967,309.3124167045055,PER
2,316.9775934028011,305.20529088677245,PER
3,127.92709732958976,119.20262288386729,PER
4,204.50630314779542,208.20316612266666,RIC
5,261.6627587622605,257.99674580809756,PER
6,140.82235425688546,144.18186230652336,RIC
7,204.81763467294564,214.25710887590205,RIC
8,258.5031737904762,260.75291933605445,RIC
9,282.64436036821394,279.2737688380809,PER
10,235.55235004768306,230.50465354783148,PER
11,176.82230279111113,178.0084676718894,RIC
12,194.56278420689273,206.39480024667046,RIC
13,141.25201909713445,144.0015160805901,RIC
14,181.04950399492063,180.89471272866828,PER
15,165.1873510730014,168.09304989555926,RIC
16,224.87187391111112,228.06367674254196,RIC
17,237.0515732604081,234.05199299710145,PER
18,240.42777355263775,243.2184916459747,RIC
19,233.49195288115942,232.88008466984127,PER
20,144.538954143841,150.0539790878379,RIC
21,134.4056100889055,132.68992031337757,PER
22,177.87638812444445,180.03473774420493,RIC
23,152.02683412214583,156.35919935866036,RIC
24,232.7527702626238,233.4167563967014,RIC
