Minisector,NOR,HAM,Fastest
0,307.0153679965201,312.7163030865485,HAM
1,318.9031250755555,326.6830529777998,HAM
2,306.96649850752266,310.4064212376181,HAM
3,181.3235565533646,176.49950369565786,NOR
4,218.2508060363396,212.39100460159236,NOR
5,197.79959953538176,196.90624633233784,NOR
6,182.66005127726206,178.29045204014926,NOR
7,201.024045251772,202.86970622819248,HAM
8,250.03014810666664,251.6629819955235,HAM
9,248.49440351200877,251.01693695307358,HAM
10,173.5197151252531,169.87901540474166,NOR
11,232.16293489812807,230.79917598326938,NOR
12,125.29826598071078,126.79278790132646,HAM
13,238.09423934806776,234.0799874744475,NOR
14,272.684902434632,276.38283449069576,HAM
15,269.54921678814816,273.4258513346032,HAM
16,208.58139766123563,207.7790591202381,NOR
17,193.03104549899666,195.30462255238095,HAM
18,288.50099113897903,288.63776921300274,HAM
19,316.79260014265685,326.1269000596825,HAM
20,313.5107146285714,328.47830682328043,HAM
21,293.65483130589377,303.35028107885717,HAM
22,258.12527726547506,263.69466511899486,HAM
23,122.59649278920355,122.71358667089605,HAM
24,250.91092579434164,238.08964346074075,NOR
25,,283.1071433142857,HAM
