Minisector,ALO,SAI,Fastest
0,300.34304649059743,293.8499419160248,ALO
1,162.03256407871646,157.33382892790135,ALO
2,158.93228480597426,153.68404975398147,ALO
3,230.2731472807619,218.63253681612036,ALO
4,288.7002320267054,285.0616973082844,ALO
5,291.3940707790174,296.40199408087904,SAI
6,144.63442352511518,152.59238339768748,SAI
7,147.0184772564519,138.2638284651514,ALO
8,135.68045711978763,153.17378090731924,SAI
9,186.85174400846668,175.73962235555584,ALO
10,124.44272902090515,138.72279850905267,SAI
11,125.9412727242465,131.41132611340743,SAI
12,174.4695499275759,146.01202743903394,ALO
13,268.6046760808103,265.14716896219335,ALO
14,294.65746034427934,292.4043377170013,ALO
15,150.39341819469888,160.0198925604233,SAI
16,222.0984896196808,212.9222323275421,ALO
17,184.2733372106578,162.7656070931819,ALO
18,274.05283111253425,265.2028246180334,ALO
19,298.6473530729412,293.45142307615106,ALO
20,312.30968167183676,306.36907970106506,ALO
21,321.512156227391,315.19325410031746,ALO
22,326.0190478019048,320.0912974462081,ALO
23,328.88120304601506,322.86666680533335,ALO
24,329.3965311020096,324.39395311734876,ALO
25,,323.47399987200004,SAI
