Minisector,BOT,VET,Fastest
0,311.63645826666664,307.4738847928345,BOT
1,243.27978485722423,237.80091041320534,BOT
2,141.18348946158642,142.89437747558054,VET
3,223.41246413756204,228.33066945317825,VET
4,266.1943817139126,268.18988916128774,VET
5,292.64808538328487,289.6084272338661,BOT
6,307.71153846153845,303.24236339621694,BOT
7,293.18711544588894,293.2684559800646,VET
8,184.67394689658002,185.01115595901285,VET
9,245.0239048452805,241.95766700150585,BOT
10,277.1234138459953,274.1775599613006,BOT
11,271.13292836221626,277.6618369901488,VET
12,216.4860442500322,219.46209476327707,VET
13,135.76913579465466,141.79273621702393,VET
14,128.01861055574614,124.10508627378908,BOT
15,173.20302021789627,181.85678225712257,VET
16,131.05538546998554,122.32991098039197,BOT
17,235.25436605019993,230.5770062120956,BOT
18,199.75772728164145,210.8879002563015,VET
19,172.568198467252,160.09949753896356,BOT
20,253.64307906153385,244.29161483281425,BOT
21,280.48073219165747,277.11285671746674,BOT
22,296.0602414223425,293.4507880723902,BOT
23,306.3765362730195,302.1882021283377,BOT
24,310.25694435555556,307.517755262311,BOT
25,,308.66250026666665,VET
