Minisector,NOR,PER,Fastest
0,323.27377531049916,322.7485512347826,NOR
1,326.53958332121215,332.7957520969697,PER
2,322.36136378181817,336.68856100705545,PER
3,199.35076321187304,194.08396490094933,NOR
4,115.83246220339517,115.44310148218673,NOR
5,267.4828997123643,265.8776974586886,NOR
6,304.47331614634635,304.48386384926175,PER
7,315.3447464347826,319.8907128913731,PER
8,277.7711205313269,281.7190460756341,PER
9,140.35929599394385,137.8644862469245,NOR
10,218.12999090999284,217.2739895426178,NOR
11,207.72612891434224,208.63526694565098,PER
12,192.57576738245615,192.81064939635485,PER
13,269.71498555367737,266.9843855524545,NOR
14,307.2625773581781,305.94317717755746,NOR
15,323.2529810591721,325.77518952727274,PER
16,263.2294110137566,266.5321866340136,PER
17,198.380324777669,190.32984195998048,NOR
18,272.5965381813051,265.66451213745034,NOR
19,309.30941670273893,307.2297896249202,NOR
20,323.3698862060606,324.84047603809523,PER
21,303.8848972888889,318.7222545048203,PER
22,200.45095554202987,203.2219150568859,PER
23,265.69597040878864,259.81726012573506,NOR
24,305.0250543281404,303.48246493333335,NOR
25,,316.5916650666667,PER
