Minisector,PIA,LEC,Fastest
0,321.8654399085235,327.97901085832547,LEC
1,329.4979024521212,338.43083070548755,LEC
2,331.3304107579221,339.192745916086,LEC
3,197.12763619804696,179.47653685599346,PIA
4,136.5090565425883,135.81591171570463,PIA
5,270.5414950306878,272.49612717509103,LEC
6,302.2381946893444,307.1133124164323,LEC
7,313.84660493827164,323.9624872330742,LEC
8,276.6975214866389,278.09532712444445,LEC
9,152.09670057973233,147.67714116063294,PIA
10,229.99371494947843,228.02661886886446,PIA
11,233.30510131490738,237.49714165389278,LEC
12,213.62214822907936,207.1825426338852,PIA
13,272.302165051529,277.6424961762989,LEC
14,305.87395456701887,312.02843213152886,LEC
15,316.9605417066667,327.6032817109851,LEC
16,277.6882989397691,274.6457938952381,PIA
17,223.46749158770442,220.80159632353744,PIA
18,280.53444958758934,286.3551602418693,LEC
19,310.4568482847484,315.37989066634884,LEC
20,321.22678808126983,329.7389099744749,LEC
21,304.71676033830204,309.5150617758538,LEC
22,224.44964731118296,218.24259452206704,PIA
23,271.3212358011255,273.0994310508095,LEC
24,307.1659466024038,309.6109278904974,LEC
25,316.4,,PIA
