Minisector,STR,ALO,Fastest
0,276.60810216299205,277.17740620902356,ALO
1,294.8015348240628,297.4506600021979,ALO
2,294.41944565163635,299.4718878077097,ALO
3,175.32290018759736,167.69507655644654,STR
4,116.50839740190851,121.56293344037296,ALO
5,232.73274100072396,238.89662905597882,ALO
6,279.4822975965368,281.80813249341725,ALO
7,291.67586017567976,291.6303194270476,STR
8,166.7654713614849,167.2273426196576,ALO
9,132.10289305877606,144.36034516406343,ALO
10,248.60742469968253,254.20071304892735,ALO
11,287.5163632597903,290.4137375400878,ALO
12,295.9162464278261,296.5564481777778,ALO
13,276.74534350892094,281.38355611760784,ALO
14,301.8049473466431,302.9102235303704,ALO
15,303.48736429982233,305.06346171509665,ALO
16,235.21136071428572,243.5686729511834,ALO
17,221.6337122521498,226.33539721937626,ALO
18,281.1918147679703,279.5343388708192,STR
19,304.87495516226755,305.2756946986667,ALO
20,309.42008465019,308.1560818916787,STR
21,224.20164498438297,233.14544656548406,ALO
22,255.55217617411907,262.38966755488434,ALO
23,140.8158664945964,136.19614112141025,STR
24,208.1681182201369,218.38299610526457,ALO
25,257.3625024,,STR
