Minisector,RIC,GIO,Fastest
0,318.83753837754847,317.37105996190473,RIC
1,326.5250000197531,321.08981478095234,RIC
2,321.6641516356525,323.7887633156944,GIO
3,174.32260051685972,173.20349732624808,RIC
4,136.1162229164021,134.80145858566027,RIC
5,268.8394498230008,266.85433991111114,RIC
6,300.0150977800866,296.9355654144091,RIC
7,307.6202082666667,304.0029761015873,RIC
8,255.54525966984127,261.47948033425547,GIO
9,155.80365021676747,150.77302405946574,RIC
10,224.42520517530863,216.93211037173987,RIC
11,231.2819008488692,228.2796288395062,RIC
12,206.31245853904056,197.33200452652628,RIC
13,274.5081525797101,271.60670205217394,RIC
14,306.65804756087033,303.31964266666665,RIC
15,315.07312496,311.06077381333336,RIC
16,254.5972655712956,245.089218414652,RIC
17,215.3016709924757,215.21071291428572,RIC
18,277.5600112138528,276.03095685069485,RIC
19,307.78396305189756,305.2068023510204,RIC
20,316.09642858345865,312.19868407017543,RIC
21,297.8257955555556,298.2958316908339,GIO
22,213.8611907214319,208.5752048101587,RIC
23,268.7302126836959,268.1464927455391,RIC
24,303.3657879147392,301.1347910933333,RIC
25,,311.0,GIO
