Minisector,PER,NOR,Fastest
0,304.89176052105404,295.2719551589743,PER
1,235.96583472055386,238.21720478279568,NOR
2,193.92800596801067,202.3587096489731,NOR
3,270.5066086645397,267.5672840691358,PER
4,225.95664133333332,224.24637388997297,PER
5,110.28214265288112,110.75461634310962,NOR
6,175.41450958445253,172.6366311082887,PER
7,257.6487948830138,255.8567939152709,PER
8,288.58714224695666,284.68501884844125,PER
9,304.95196692008284,296.33974214060066,PER
10,306.9211507219769,290.2210237805714,PER
11,226.83216056666666,224.30337606462956,PER
12,148.68155428994788,145.56126595015232,PER
13,259.8392234324274,255.33142009795918,PER
14,294.21321423847616,288.4127259994133,PER
15,305.26195659130434,295.15333341866665,PER
16,298.02300006400003,279.77163466666667,PER
17,255.94925607619047,248.64568978390804,PER
18,176.48250590661894,174.690822287614,PER
19,182.19391066142455,187.08495154090355,NOR
20,166.76835309569162,168.75744446773137,NOR
21,240.3782795423656,248.3188551391556,NOR
22,121.90803927144067,126.14600137874152,NOR
23,191.64751470382743,185.63391365860807,PER
24,288.18894244102563,279.92754650444823,PER
25,,295.6958336,NOR
