Minisector,SAI,VER,Fastest
0,260.28247398717394,258.698877374359,SAI
1,221.74236844226505,242.1417234103387,VER
2,145.59160489876544,145.83753516501605,VER
3,242.85488040257775,238.7638242778414,SAI
4,269.954736952381,268.66135679390476,SAI
5,176.88178881058042,189.67848779636992,VER
6,97.80535293312215,103.8903131225126,VER
7,137.40513170655933,124.53783801781557,SAI
8,252.19520579164833,246.03256874555166,SAI
9,164.02503434874777,171.07443514748775,VER
10,186.43680427456746,189.3051943783957,VER
11,259.32415575459373,256.99503163076923,SAI
12,249.80907746813185,248.82086871748737,SAI
13,266.8329306875039,264.54773778285715,SAI
14,286.80199257971015,280.91576064927534,SAI
15,271.67275505397515,273.6287106003552,VER
16,139.90053427388452,144.6612021527617,VER
17,235.88183149151996,237.37696307809523,VER
18,278.6724635826087,277.43172410389326,SAI
19,288.90346787246375,286.19207905605356,SAI
20,291.9429347246377,288.3403347812483,SAI
21,293.23667933737374,287.8337949836047,SAI
22,147.28222009321175,141.3132732668845,SAI
23,84.28635749099068,83.44816634260255,SAI
24,167.8290561403509,165.05794657815443,SAI
25,244.22083519999998,,SAI
