Minisector,RIC,VET,Fastest
0,249.41195591594584,242.55471255281518,RIC
1,285.57604533494793,268.36733333333336,RIC
2,184.89130042351354,186.54741240015616,VET
3,151.0772029810406,151.19551609358479,VET
4,258.99216983951146,256.2679012345679,RIC
5,265.18197207574985,260.1523765728395,RIC
6,222.39541463175826,206.90104166666666,RIC
7,193.0027705330648,199.57414287238095,VET
8,147.68432977225672,149.29979799649104,VET
9,209.24063480424144,204.64040404040404,RIC
10,267.4795264802947,264.43493591794874,RIC
11,122.32796762255921,130.4753707761354,VET
12,208.12274279589758,196.23235995961983,RIC
13,271.57578000045237,263.29535834505464,RIC
14,290.23758418416486,285.57016669866664,RIC
15,298.223883321297,290.98478260869564,RIC
16,256.2027760197531,256.15243916333424,RIC
17,131.80978847031682,135.14514128574888,VET
18,124.6517534079332,126.71151090120212,VET
19,114.48625143506273,119.34174105172835,VET
20,225.08066575362142,213.98620338110035,RIC
21,247.40971540680272,246.4457827646789,RIC
22,233.5585773435416,243.77633338807175,VET
23,220.11210298412698,218.67673933780304,RIC
24,134.66205008842908,137.98309615303003,VET
25,216.0750016,206.73437706666667,RIC
