Minisector,PIA,ALO,Fastest
0,254.29622818945623,250.07524804883704,PIA
1,225.0775561304712,215.79472929807292,PIA
2,212.20310397340268,205.49907538139107,PIA
3,256.42562528,260.3254386767148,ALO
4,270.3528600131991,274.4084656572618,ALO
5,289.1566381248603,289.9088754061396,ALO
6,147.49341168789667,158.666559068585,ALO
7,190.00789214926294,184.79114868631362,PIA
8,270.5341927941243,267.9346333112782,PIA
9,296.5247877359447,293.185985852919,PIA
10,306.3394018714408,305.16730032100986,PIA
11,304.8788851073231,301.3580854095238,PIA
12,114.00732613483753,105.93962070103511,PIA
13,192.4948341672295,189.63285060767015,PIA
14,271.38634263404015,267.3179843641535,PIA
15,292.8924382465587,292.0603738630564,PIA
16,296.4172633953185,295.1689941432622,PIA
17,189.3211013158048,186.12388787947995,PIA
18,225.13428552059395,222.09175023039572,PIA
19,273.2269162585864,268.4962793105689,PIA
20,157.75120904189887,145.4729202709308,PIA
21,148.35714812408065,142.64994742414038,PIA
22,228.82089761850656,218.4387354372389,PIA
23,242.93217918456415,224.70054732578092,PIA
24,160.00926006206598,161.78681827166002,ALO
25,225.9,,PIA
