Minisector,SAI,HAD,Fastest
0,284.2613781412448,295.6410336769144,HAD
1,144.63276896772203,149.2993555798107,HAD
2,223.39817688743054,222.7235416921919,SAI
3,282.37726049102304,282.3652539579677,SAI
4,313.2459211064935,311.32239555555554,SAI
5,296.7213670552611,301.40944999382083,HAD
6,157.16688545531463,151.829721323881,SAI
7,243.46300002942527,245.56136948836095,HAD
8,111.39301185901671,115.5882191298524,HAD
9,173.7552070181061,169.23994197653914,SAI
10,278.10864236345594,270.33800731333366,SAI
11,299.29063113650795,301.04614347962104,HAD
12,217.49673098343433,218.54428300138076,HAD
13,171.13845825851902,165.86480534573448,SAI
14,280.9609590177655,279.3391856096296,SAI
15,313.0808912592208,312.2852645224127,SAI
16,328.156175622774,326.88052936471894,SAI
17,335.4316613276564,334.11213223529415,SAI
18,339.7942176653061,336.61175594285714,SAI
19,336.09304469485716,334.66876000834355,SAI
20,185.7514846384963,203.6554671476665,HAD
21,183.35350257997425,164.73114682662205,SAI
22,282.5595170218128,276.93540386252135,SAI
23,312.2612174700345,312.35275716594515,HAD
24,321.57585008549097,319.438710754864,SAI
25,317.77499985454546,316.0,SAI
