Minisector,PER,NOR,Fastest
0,320.94986983238687,317.278491569733,PER
1,329.75214862079173,325.23510104,PER
2,326.4935070336508,329.18408228786035,NOR
3,200.50354819839953,192.17159214192088,PER
4,111.32743790983294,116.18429370933603,NOR
5,262.820875086011,261.6994014791563,PER
6,299.95568001567943,297.9327158284706,PER
7,317.1204462072596,307.61430559999997,PER
8,266.6742480988523,268.1803637664303,NOR
9,138.2991544347473,137.99466666888114,PER
10,214.34240190483342,210.01142909943243,PER
11,204.32048704487622,205.44852193658474,NOR
12,189.55336421541858,185.36747911419826,PER
13,264.9755654184127,268.36743666834286,NOR
14,300.90005143947894,309.8207223055616,NOR
15,316.10194527982685,328.104052848735,NOR
16,257.50718529400933,261.41121933824707,NOR
17,204.33319377597545,209.37432481487775,NOR
18,271.9007567329041,267.65184394913354,PER
19,306.97059766795576,304.227434244039,PER
20,322.4752896442931,313.3098760444444,PER
21,309.30903438776335,289.80953737655557,PER
22,204.04591545804013,199.1919573439017,PER
23,260.51368481269844,260.53700549254756,NOR
24,300.83561568312825,299.3358338805797,PER
25,312.9428571428572,,PER
