Minisector,BOR,OCO,Fastest
0,290.5167583487564,289.71918861754386,BOR
1,292.04246287085715,297.0332808257143,OCO
2,155.02020257331796,160.54552196185148,OCO
3,217.33484129272355,220.70227197071895,OCO
4,268.95144253172907,274.29378303528387,OCO
5,290.4285863010035,291.8034076952381,OCO
6,295.2809036753114,297.85794637714287,OCO
7,150.48524825862012,164.4882643389322,OCO
8,140.17077992205802,130.45750523697384,BOR
9,249.76405146763977,248.2348929371429,BOR
10,282.8601358106185,284.39776266717195,OCO
11,287.4354018119474,294.7731479703704,OCO
12,141.33925902837902,136.65799766160993,BOR
13,192.53167438743353,191.63480354201224,BOR
14,254.91015000466268,257.3577154707996,OCO
15,203.16503645737373,196.9797878726089,BOR
16,222.31011289087434,209.80289285714284,BOR
17,214.25261276244348,203.2434990947034,BOR
18,244.218357316083,239.78661055733548,BOR
19,276.968493765614,275.392585720979,BOR
20,288.8055531461438,291.2528324525461,OCO
21,255.80019992061614,247.21352367893633,BOR
22,221.32899389438234,216.49810237824542,BOR
23,199.12912148457144,190.53268767687445,BOR
24,264.41380498082543,261.7001484794581,BOR
25,,281.0625002666667,OCO
