Minisector,SAI,ALO,Fastest
0,300.2039468350877,288.9373915716918,SAI
1,311.336896512207,296.26827744985997,SAI
2,158.28917474818005,170.9470746091018,ALO
3,216.3421433910006,220.60716667733334,ALO
4,280.1072324223113,272.35855219649125,SAI
5,307.7268904156863,291.8821378524346,SAI
6,320.18918408161437,299.66176476862745,SAI
7,187.7801285661777,196.87642031216703,ALO
8,114.22544553146636,116.44220925217391,ALO
9,255.00595144126987,243.32546263326137,SAI
10,301.80622779325654,280.1272859782301,SAI
11,319.98593753333336,293.09649122807014,SAI
12,152.39114147329013,156.9984789221023,ALO
13,188.3336598958922,177.52003856761905,SAI
14,256.13988058412696,252.203108284731,SAI
15,207.26063270503408,217.93787292063493,ALO
16,221.29687426666666,211.16618440650825,SAI
17,218.6490843594759,217.01778884102563,SAI
18,242.4763586018767,235.6166658909091,SAI
19,276.49801554285716,272.19796002885323,SAI
20,288.61828705185184,290.48611093333335,ALO
21,268.0244950095238,277.29000106666666,ALO
22,234.51516612505173,236.42232405358877,ALO
23,206.30138563915648,200.2060178567901,SAI
24,263.82470185904765,260.3760108181065,SAI
25,280.1,278.53233811836355,SAI
