Minisector,RUS,NOR,Fastest
0,294.6940392514286,294.2117937186724,RUS
1,305.07986812517004,301.207126962465,RUS
2,154.46796312756683,155.50468220951242,NOR
3,224.61853637460317,224.83310162956167,NOR
4,276.6893236395568,278.99353406079285,NOR
5,302.1687733233333,304.5928512233959,NOR
6,312.20750016,315.699523575873,NOR
7,165.5120160264285,164.66362901820278,RUS
8,128.6776364755748,118.0285843242143,RUS
9,251.88154819428573,252.257695944127,NOR
10,286.30313506807016,294.35725581728,NOR
11,291.7055695490909,310.5340585632669,NOR
12,136.248397626582,139.03721668125635,NOR
13,187.06701222902686,180.9841706707451,RUS
14,248.23417842205512,251.68630300246912,NOR
15,200.38855475776904,200.26920228150104,RUS
16,219.505587584,211.57813228550643,RUS
17,212.76541940868483,208.0334356265008,RUS
18,239.29303884425485,240.57219710391533,NOR
19,270.87749913680676,272.91019394482464,NOR
20,286.89032191087347,286.93374703820587,NOR
21,261.89500196977286,258.733892756261,RUS
22,229.6971326105176,219.74717536858208,RUS
23,201.81026612596378,194.50513708031542,RUS
24,258.66156635789474,255.80749298885183,RUS
25,,276.46999936,NOR
