Minisector,LEC,MAG,Fastest
0,290.30450519443224,285.8623621657416,LEC
1,303.26075438209944,296.34627388903664,LEC
2,308.0210689015873,301.17418147817733,LEC
3,309.56250011428574,298.9176599012063,LEC
4,194.24830949155273,192.27141248231163,LEC
5,214.5070960153375,209.30381682590476,LEC
6,267.0121478673106,261.21365114248505,LEC
7,269.5111420266667,264.644022757764,LEC
8,190.9525596656171,184.89921644473048,LEC
9,157.21751970170655,149.61357700609227,LEC
10,187.23513037453745,178.3606793930979,LEC
11,257.5514678200963,255.44225576989274,LEC
12,251.2010422636774,244.8597247987011,LEC
13,233.70551380897962,217.52737568914287,LEC
14,273.61814990334756,263.46850041168506,LEC
15,174.87139272507235,168.22713458467533,LEC
16,220.0316489328363,212.41959479991783,LEC
17,245.10336942452014,244.8345793835498,LEC
18,137.5647426200916,132.05052698214394,LEC
19,237.8271492608432,242.28355512948733,MAG
20,273.8413339697479,273.9334025015873,MAG
21,247.6112339014493,259.03708692960083,MAG
22,142.81113237324394,136.48621558896625,LEC
23,212.9879819468697,197.27511059633235,LEC
24,268.9675871059879,262.08119371074963,LEC
25,,278.47499946666665,MAG
