Minisector,PER,HAM,Fastest
0,292.37612861555215,293.51901485104764,HAM
1,209.2089241918797,219.47775928562356,HAM
2,225.80384279536142,230.49535368806679,HAM
3,274.1497069234533,274.214720291542,HAM
4,249.01467658450167,248.43452720958155,PER
5,132.55067723330006,127.70006109745242,PER
6,212.67638772167044,210.6823151666058,PER
7,257.14806821388714,256.4225438645063,PER
8,246.44721202381749,245.28415768911148,PER
9,231.30658821804985,233.91914271024763,HAM
10,275.6661821884092,273.4077709206349,PER
11,294.3899368012426,292.7288322818471,PER
12,303.8828127911111,301.9382331555555,PER
13,308.16907902556386,306.6216618969697,PER
14,311.3117647372549,301.15473025254903,PER
15,268.21262633802314,254.65214162692064,PER
16,240.13754675870317,243.05536007486543,HAM
17,278.485781494722,277.1314758664662,PER
18,296.80263518695904,285.3997894252819,PER
19,156.3298408815777,160.7392265360581,HAM
20,209.1120091263734,209.5267605279889,HAM
21,188.49093526531183,185.5519327327961,PER
22,137.10975051271433,138.15225889190236,HAM
23,238.70394073469205,230.72223085255968,PER
24,281.67376554739394,276.9679835363265,PER
