Minisector,PER,KVY,Fastest
0,287.6875344545302,305.60086992856026,KVY
1,306.3845240888889,332.3015037593985,KVY
2,303.15765254240364,322.8718253968254,KVY
3,186.90636536547618,180.94011213796472,PER
4,225.75500788231645,218.37037409196398,PER
5,216.67241375632184,204.64610032446635,PER
6,197.98150413929085,192.57156957469073,PER
7,218.29511547586208,214.38517325660462,PER
8,258.47487938164255,254.82112542199957,PER
9,264.5849634252588,258.86885323887867,PER
10,182.72907132869503,176.61179813075827,PER
11,243.6152712087912,243.49182703589744,PER
12,118.92144404888633,117.56066273039323,PER
13,228.57389889241622,231.20773828106107,KVY
14,274.2904716183599,274.3095668415757,KVY
15,286.07428164103396,280.0357955878788,PER
16,209.72125204644348,208.1763845038412,PER
17,189.22773340131354,190.2263948457417,KVY
18,269.23358585858585,273.2214285714286,KVY
19,295.0780217518114,297.1739190495556,KVY
20,307.77597219555554,308.4855898749663,KVY
21,309.1502380952381,308.53499999999997,PER
22,265.77148485806083,260.5026803051735,PER
23,119.97827053561058,117.88036794719306,PER
24,247.21618613333334,244.26941945396825,PER
25,,276.88124960000005,KVY
