Minisector,LEC,MAG,Fastest
0,326.43647677575757,323.7358523999204,LEC
1,338.7019659777332,332.6300556757143,LEC
2,337.7965554123636,332.161314592254,LEC
3,202.43183957471973,187.9529145312875,LEC
4,128.00142780482395,132.14137981303614,MAG
5,265.89930538329355,267.765180253898,MAG
6,301.0045691018399,302.44648018979603,MAG
7,316.09238666158734,317.4746328507936,MAG
8,284.5083899741799,287.82524349729465,MAG
9,144.19276448379256,139.5783799762465,LEC
10,219.63401189789286,221.6154911925798,MAG
11,222.37933267613448,221.32556960251264,LEC
12,199.09180017840433,198.32867132247824,LEC
13,269.29795978926825,266.44414343953173,LEC
14,306.6627996521017,304.72210324745197,LEC
15,321.2331545752381,321.59496511111115,MAG
16,263.91060017005714,287.6355945788958,MAG
17,210.22363723073016,207.94353059235397,LEC
18,276.31426313403193,272.2362586925869,LEC
19,308.6806574493122,306.30455871436766,LEC
20,322.38931685453633,322.8195220428526,MAG
21,298.35732911543903,314.86568921683113,MAG
22,205.99039851547994,210.40521969459266,MAG
23,265.53110659065794,264.6607372568381,LEC
24,305.6494246049524,303.3353010974871,LEC
25,,318.2486112,MAG
