Minisector,HAM,VET,Fastest
0,199.80510922948852,188.4339342253185,HAM
1,263.474217,265.5040967600445,VET
2,292.63749902222224,301.3273142814815,VET
3,306.3312300342857,306.30370655856177,HAM
4,176.1361153777778,153.7792092627495,HAM
5,211.61325452358452,217.51207890581736,VET
6,272.16232184019583,282.20633598875094,VET
7,296.1824554666667,304.5828699851852,VET
8,301.96523104089636,315.8160493584766,VET
9,230.68104931778146,200.63157965145106,HAM
10,109.25743775226466,104.11720027510427,HAM
11,238.16187537316017,243.65833149090906,VET
12,281.17938487017545,295.18269221954233,VET
13,296.31870455845507,313.45858869533424,VET
14,183.55503428045975,153.60177654774773,HAM
15,150.97166813167024,156.44758518036306,VET
16,250.1158718984127,251.2062064979592,VET
17,214.64515061462725,200.71593562327533,HAM
18,190.51594412307693,184.77559363809524,HAM
19,228.51323857735625,208.13666317786786,HAM
20,228.55473333333336,220.71211480095303,HAM
21,270.2091658133333,265.7267311081502,HAM
22,291.85067604209775,287.54730538345865,HAM
23,286.3620388740741,269.46041891929826,HAM
24,234.93194453333334,213.5680558222222,HAM
