Minisector,HAM,HAD,Fastest
0,311.14873911950195,315.8428526520357,HAD
1,323.03232716719765,328.39439176388913,HAD
2,325.8968942109373,333.110837301286,HAD
3,293.67420098039366,309.4855260927721,HAD
4,162.40802605282073,156.84439687314566,HAM
5,196.44391864067828,191.91167674949065,HAM
6,216.65361249528522,220.44475462119908,HAD
7,256.34020816227314,261.9279763266943,HAD
8,237.62498051090867,247.73586690583505,HAD
9,159.54858087578134,154.6092230815562,HAM
10,203.91565667130794,211.38264140803867,HAD
11,127.02029509581047,125.13669854783623,HAM
12,233.7320390866633,228.76904986217838,HAM
13,176.0043952201929,165.64276832256667,HAM
14,203.74358401830975,212.43651976079025,HAD
15,219.29088727191854,222.08638405562573,HAD
16,259.80250739938276,265.14979600460873,HAD
17,294.11905511071035,296.66386922139077,HAD
18,149.1816156230762,136.93768452775123,HAM
19,152.95770623353147,155.63462399756074,HAD
20,136.66697518649337,131.16030155049282,HAM
21,223.07934648377707,226.08399856773633,HAD
22,242.6553171972418,248.69400009897342,HAD
23,231.4260543644248,232.01902526454327,HAD
24,282.18476222577203,283.0866425918638,HAD
