Minisector,VER,SAR,Fastest
0,242.67975599377584,252.0341677724757,SAR
1,275.53419822282694,292.40015457414387,SAR
2,178.34496132763513,156.51191700642013,VER
3,152.03076328489794,160.31519073837893,SAR
4,253.38389369309425,252.07306422867026,VER
5,266.0746402092929,239.64501181252527,VER
6,232.54493547368622,204.21798824333845,VER
7,205.70967232373204,189.77159460642363,VER
8,157.30343021946928,149.1084589312452,VER
9,220.23253569100925,217.05107364141261,VER
10,266.1027089215133,276.1304205929004,SAR
11,121.39209027349618,116.16580177576516,VER
12,197.64080515514777,214.00200157333333,SAR
13,265.6917857142857,277.9221118527988,SAR
14,288.77788590453457,306.5142848927485,SAR
15,295.89468252352094,317.23451023342596,SAR
16,240.4190502784774,216.90185368266367,VER
17,130.26839334865673,131.37902495527558,SAR
18,134.74819794070854,132.54886168197,VER
19,122.27950635432086,119.17529392996026,VER
20,219.1956714907234,217.79047676724684,VER
21,254.7610052910053,248.29167022864067,VER
22,236.21391168537525,217.32525382063437,VER
23,213.12551020408162,195.19972233296818,VER
24,135.38008199766617,139.3210106455444,SAR
