Minisector,RIC,SAI,Fastest
0,288.75338387473295,287.46058440839914,RIC
1,295.72028985507245,294.4155796869565,RIC
2,284.6319938285714,285.3356641466818,SAI
3,113.23746035011776,111.58179987398987,RIC
4,221.3051087462287,223.73694432,SAI
5,275.35437829828294,272.7726585828571,RIC
6,220.51639624946236,214.4905110118326,RIC
7,157.17986583092755,163.32258686171377,SAI
8,209.25493087045228,212.64086049032258,SAI
9,215.33669388387096,223.08865183034325,SAI
10,118.79903011851117,120.33502567756348,SAI
11,230.16240769556103,234.16376083841374,SAI
12,125.69208814286976,126.92466182179304,SAI
13,226.268535245977,224.23490956069838,RIC
14,279.4918733463548,278.82999987200003,RIC
15,223.4825778285714,220.3974635469248,RIC
16,188.4823179811278,191.42376778031257,SAI
17,246.63422605714285,250.49183870658143,SAI
18,205.42753949415805,199.666053441136,RIC
19,176.7421057122807,178.9646662631462,SAI
20,262.9164670748079,262.7554617427615,RIC
21,285.18985497971016,286.82836445548656,SAI
22,176.25227993225297,178.38716150188486,SAI
23,211.5632486242071,216.94850248847925,SAI
24,271.1245035962846,270.4409511450148,RIC
