Minisector,ALO,SAI,Fastest
0,283.2645293166843,290.4217800292064,SAI
1,119.28449728224062,121.08651304408292,SAI
2,161.86575753604816,171.41489073277802,SAI
3,206.14805473773785,203.40938430052913,ALO
4,168.6296098486331,171.336914284058,SAI
5,242.62302010702948,243.72265438223323,SAI
6,193.19358192406546,216.30260791354038,SAI
7,140.22892421762066,135.6380036199735,ALO
8,239.13393882144817,234.65502764682117,ALO
9,277.748992066455,281.54882748280687,SAI
10,279.1121614613,291.34194320846564,SAI
11,155.382335213658,152.88533212216694,ALO
12,226.38216493719247,218.27551525608087,ALO
13,272.46986914555555,270.04773028,ALO
14,259.9448986402241,265.4704283858148,SAI
15,100.35857890005697,102.48164210388536,SAI
16,211.13470956357725,217.44638652925096,SAI
17,271.70244392431744,273.37384396250235,SAI
18,302.1832691919792,305.21004140657516,SAI
19,316.8703101529191,318.56549599159115,SAI
20,324.4036673705495,328.1729377411478,SAI
21,271.87208105820105,287.0326097575437,SAI
22,150.89027428462077,146.8565912770322,ALO
23,238.12124423148782,231.42113497724677,ALO
24,281.92061627271516,279.9930777412931,ALO
25,293.0,293.9499989333333,SAI
