Minisector,BOT,ALB,Fastest
0,239.52661577339651,231.40320209212675,BOT
1,287.83600025600003,282.40658456903697,BOT
2,301.7123803990128,296.9020238751813,BOT
3,308.3988095873016,302.0752893925926,BOT
4,268.43966218271606,261.05177059787496,BOT
5,171.27843346544108,166.11199036201637,BOT
6,265.50703519604207,261.870999844112,BOT
7,285.3316667733333,278.4707542299404,BOT
8,212.89570859807733,211.97829069232512,BOT
9,226.1726106375888,219.08062579015478,BOT
10,180.21771363503896,184.9995179744931,ALB
11,232.17059532456435,224.65393720816192,BOT
12,209.41034990726155,206.0888065015873,BOT
13,211.3936820449227,213.70557782026626,ALB
14,228.26101786845624,221.86544816105112,BOT
15,177.53768008661484,181.24978028249788,ALB
16,250.2551804866429,245.15908951309513,BOT
17,290.8311236113463,286.6693678124542,BOT
18,304.97595332628686,297.24412767041036,BOT
19,288.781343704486,283.4285268512821,BOT
20,128.78960785317173,132.10435785322892,ALB
21,155.2490141539271,167.4615859607417,ALB
22,158.83325162638766,142.58995837788063,BOT
23,202.1050936152628,209.3300505662745,ALB
24,149.30240330989272,144.36256522278495,BOT
25,192.50000213333334,179.79444195555553,BOT
