Minisector,RUS,VER,Fastest
0,296.8299523356914,304.8286494532416,VER
1,305.3689275140773,327.41584548741025,VER
2,289.29620567741927,293.2200141257143,VER
3,109.33598616360315,105.91195070470205,RUS
4,234.4234478379149,220.92250554261412,RUS
5,278.69652500116877,285.17730093714283,VER
6,190.9139797058782,206.69035728466247,VER
7,164.79157016889536,148.02315003226965,RUS
8,198.86040124285032,209.498741369297,VER
9,208.17780702312925,215.37852529765368,VER
10,123.22095708558824,119.75820447407153,RUS
11,232.11498031705406,226.71337055830688,RUS
12,114.81526393010333,118.51820035601546,VER
13,225.40718107238095,215.7693777003083,RUS
14,282.00820516087003,273.5942547355369,RUS
15,203.32858975632183,223.25336388705438,VER
16,195.75788713521968,177.02167559428574,RUS
17,241.76213122452106,243.3664895789899,VER
18,189.45694721733832,205.96580541801424,VER
19,192.6412152667858,169.84839835805448,RUS
20,267.2674514055032,260.3227401740763,RUS
21,294.50057079920634,288.80908336,RUS
22,174.1948901128319,174.80565081618502,VER
23,217.79843376229272,191.82498215094515,RUS
24,274.3854369567347,266.70761271151696,RUS
25,287.0333340444444,285.41500032,RUS
