Minisector,PER,RUS,Fastest
0,290.70773720474307,289.4760024571114,PER
1,168.7522717838471,173.026275555032,RUS
2,169.4308009056956,166.07723304394156,PER
3,253.06197973190805,250.58475254450795,PER
4,288.88089034825975,285.035459334966,PER
5,255.3402443894346,253.11478751265597,PER
6,227.22957825800864,218.8254729735279,PER
7,153.37076327215314,153.01935448501567,PER
8,224.64164938119148,223.87868200047066,PER
9,280.65515687860926,281.83600077656564,RUS
10,300.71560709956714,299.0287370444828,PER
11,309.7414248547279,305.926904626147,PER
12,312.4331140491228,308.6113935890636,PER
13,308.7440260796372,310.0,RUS
14,139.1760674136744,140.02398531270595,RUS
15,120.10754292696613,124.31367537586424,RUS
16,98.26711478037784,102.08165043105451,RUS
17,232.26674003431174,230.71558877207687,PER
18,285.449057283958,285.46785267695185,RUS
19,310.0192933677823,305.4284549358841,PER
20,319.58169451555557,313.0385488187453,PER
21,323.3860227239506,316.6646270910924,PER
22,128.547052654325,136.55483970216787,RUS
23,203.2709229237839,190.3421368319235,PER
24,269.38200145463344,266.4537866991489,PER
25,284.22000128,280.08750080000004,PER
