Minisector,OCO,SAI,Fastest
0,300.00987658271606,306.43301321025643,SAI
1,239.21403236017315,237.49349799206368,OCO
2,130.74660131781877,130.56982603370218,OCO
3,235.61884802288395,240.24092087142856,SAI
4,193.53536355555556,185.29403538484124,OCO
5,250.309479752694,247.58750021505378,OCO
6,234.54966301525633,227.83455601563065,OCO
7,259.3764072636518,255.152058182115,OCO
8,283.4247598237883,291.2009669432734,SAI
9,209.39528994190346,206.31963239446324,OCO
10,205.56907508795135,206.37708555789473,SAI
11,265.6110517079365,275.0032150721693,SAI
12,217.67831280850547,212.88442826666665,OCO
13,249.4768464927106,247.3001626288172,OCO
14,288.54249367190755,290.59446053040296,SAI
15,299.49666666666667,312.9415457526278,SAI
16,295.07100723230036,319.9730897333333,SAI
17,246.41692676666668,220.6067074827493,OCO
18,269.55058773350834,265.29930659555555,OCO
19,294.94727573333336,297.89933380266666,SAI
20,300.4004998826667,318.23802124444444,SAI
21,292.5429328122649,323.858240978776,SAI
22,153.41954437039954,149.54991894785726,OCO
23,234.53916253067604,232.00186818407838,OCO
24,284.3407071472698,298.1405916717949,SAI
25,,313.94166613333334,SAI
