Minisector,HAM,GRO,Fastest
0,273.79089511073386,273.0743558984127,HAM
1,289.60054292268376,292.83375158165256,GRO
2,224.0494097715,236.08244777989418,GRO
3,133.57981578533315,124.16334527647183,HAM
4,186.4806673202878,180.09564724428623,HAM
5,125.86287764483005,119.91669130037862,HAM
6,212.50847029333332,205.4586784340166,HAM
7,265.89732049882406,260.8618400602492,HAM
8,186.6528033063782,177.58393031941452,HAM
9,183.3690630993753,175.51553667072662,HAM
10,264.09068247453416,260.4356407619048,HAM
11,192.75345730331827,191.78049466866045,HAM
12,168.91007230607394,159.30623633142858,HAM
13,256.6732640284792,252.72128440492233,HAM
14,272.48778437432713,270.642714624,HAM
15,286.9172149984753,285.829896284109,HAM
16,209.76315709460317,205.6374668809524,HAM
17,204.80153925124233,192.92428085601264,HAM
18,247.39320849382716,234.87932246913581,HAM
19,282.86261394819354,279.5270451677019,HAM
20,293.03939374545456,292.34090933333334,HAM
21,211.0667981551594,208.25402914408605,HAM
22,154.1966769417944,136.25231883282675,HAM
23,164.60127067517965,154.55184613073985,HAM
24,227.25946109688013,217.11932936202132,HAM
25,260.31380698012947,256.6142857142857,HAM
