Minisector,RUS,ANT,Fastest
0,269.3410740093871,270.11808700739044,ANT
1,284.88514695314285,288.2040345099112,ANT
2,283.33203643789034,295.68827050047616,ANT
3,127.10073108098764,124.95537167786398,RUS
4,197.9188673344298,192.8022843710446,RUS
5,254.76440704830338,255.5144952412389,ANT
6,147.57867411214437,141.72973742674233,RUS
7,213.18614015717463,209.72904491036303,RUS
8,258.745935152422,257.1720493092064,RUS
9,279.05015273600003,279.2260314774649,ANT
10,245.87460421869486,234.9025117603183,RUS
11,187.2373473266506,178.95065005546067,RUS
12,199.90607881273414,191.44463010977148,RUS
13,145.56553969546897,139.75912795724867,RUS
14,179.49374815543385,174.0255454784699,RUS
15,167.22328997555556,160.8226882524872,RUS
16,220.63598154295886,218.46416553113428,RUS
17,239.24206813674186,235.6467841348387,RUS
18,245.6545987491996,242.27996453098854,RUS
19,236.24344257616164,228.28017854891715,RUS
20,149.2051734924843,146.54234747899116,RUS
21,136.96208900466854,131.41110579056297,RUS
22,167.74693317333333,172.27452868927568,ANT
23,160.3357543872511,152.31704681044047,RUS
24,235.01628260266665,230.05162248971618,RUS
25,258.5833333333333,,RUS
