Minisector,VET,ALB,Fastest
0,258.3620213424225,258.7565680948455,ALB
1,224.00591566451615,224.40622414539078,ALB
2,143.12053329619067,149.94956304060668,ALB
3,240.79323892789117,241.21802816894467,ALB
4,270.05471066174704,272.2127061751636,ALB
5,181.84850924684685,181.26058646219403,VET
6,98.38480412894181,99.29735293202961,ALB
7,133.45112823479107,133.0560805719951,VET
8,247.86990255824654,247.4219727475407,VET
9,169.21052359859297,168.25904014923296,VET
10,181.76800072099422,182.70188593400565,ALB
11,252.09341684627762,254.39839707545786,ALB
12,235.55208342857142,245.78000239629404,ALB
13,256.3821808924276,262.52019718375436,ALB
14,278.92789815652174,283.6456518492754,ALB
15,275.49950237866665,276.4397094095238,ALB
16,138.9142322962225,139.83819285432108,ALB
17,233.4971306694828,229.78270813933352,VET
18,277.15344139130434,274.9498279595253,VET
19,286.3624999884058,285.33695647536234,VET
20,289.20961798222226,290.8411015055667,ALB
21,294.04242424242426,296.128010444585,ALB
22,150.2025963996681,143.89518877114412,VET
23,81.45244819756738,82.19838471663016,ALB
24,165.34307497895534,164.71748275450923,VET
25,240.7874976,,VET
