Minisector,RIC,OCO,Fastest
0,285.25318891462666,279.86370044725874,RIC
1,302.7413189483242,297.9464976854391,RIC
2,297.1689093665563,295.58869395142494,RIC
3,167.3426060977321,179.14658047329655,OCO
4,124.27367821343432,125.24468192661146,OCO
5,242.0071955038197,239.70779059450837,RIC
6,295.7953931140766,281.3085447207446,RIC
7,305.6960177030747,286.879916064,RIC
8,176.67837916983368,183.4788050883806,OCO
9,145.81688568452032,152.0148266157352,OCO
10,258.75343135317934,256.6406257904762,RIC
11,298.2254799253761,290.81256199905766,RIC
12,308.7541305918647,298.1657614872381,RIC
13,276.8218155664589,277.0827840410256,OCO
14,301.84543685714283,295.754512152381,RIC
15,303.56798330723143,294.8358023746117,RIC
16,249.381300545156,253.775514455549,OCO
17,223.53154990329452,229.5742711391051,OCO
18,287.4390006186666,277.7997230281219,RIC
19,318.9131007523051,297.1740969482061,RIC
20,332.96550283636367,291.88426712270257,RIC
21,221.00434067648033,234.56154362746753,OCO
22,258.33024746666666,261.2166643529268,OCO
23,144.62155847051406,143.59948648340438,RIC
24,225.78099626114752,228.42658596229182,OCO
25,265.44166613333334,,RIC
