Minisector,LEC,VER,Fastest
0,260.50083282857145,259.39958836205545,LEC
1,136.44313745239566,134.52099896189628,LEC
2,206.86518620555916,200.19395588871575,LEC
3,247.31452370285714,246.02512751496997,LEC
4,255.14118279183975,259.736317767033,VER
5,174.64396415061003,190.00827792280703,VER
6,145.8742617793016,154.49279685741212,VER
7,184.10254791538284,186.8268386147186,VER
8,102.95935631278756,105.73885766838427,VER
9,71.1024909550716,74.64801060686439,VER
10,98.02791612765871,98.01278466878898,LEC
11,192.59407516309773,181.83431297650793,LEC
12,247.9786338369414,240.28511270213758,LEC
13,269.94507609761905,256.5266749212314,LEC
14,281.17440924835165,267.6604163733333,LEC
15,110.61044685620722,116.06112755810288,VER
16,162.0873198640254,144.40168874624504,LEC
17,187.48720476756694,191.21562313757727,VER
18,199.04555009705217,203.62960703152666,VER
19,217.51444695505026,219.9324021352381,VER
20,139.34941202540605,137.96313929422223,LEC
21,104.910282432994,115.83193796825397,VER
22,100.02962499288127,94.7877719845083,LEC
23,203.05137178818552,195.62258010185462,LEC
24,248.34752726153846,249.38020083462663,VER
25,264.9499968,263.48,LEC
