Minisector,VER,GAS,Fastest
0,290.65655696891406,276.08405090309645,VER
1,152.8262709780882,154.34636375853756,GAS
2,145.69908944486187,140.48540533699816,VER
3,222.20340254866412,223.65626130942468,GAS
4,284.56543081588933,281.29335347936507,VER
5,290.8691371466133,283.97458951064937,VER
6,139.683844470691,142.44176233651694,GAS
7,139.5011044383045,133.98152617503882,VER
8,140.31170779716078,137.05721258966224,VER
9,184.44719994682757,181.80154257200533,VER
10,125.70033499083848,122.01818385178544,VER
11,119.94640462825227,119.43075484117303,VER
12,165.06338934378786,159.3130159519143,VER
13,267.14419325985386,263.0514479642978,VER
14,289.67635120380953,286.16655565155554,VER
15,152.03823229490717,144.72159517596543,VER
16,205.31495545279031,200.82771539978836,VER
17,172.7003700972978,165.82436175518797,VER
18,272.47823107291947,266.0378071990748,VER
19,296.09618929291923,289.4293497594753,VER
20,311.4244211920131,303.0489957397026,VER
21,319.2925917233812,310.56856203308274,VER
22,321.6877273134545,313.3361664336695,VER
23,322.81648246729446,316.2170238374603,VER
24,323.84659089454544,314.22124392109,VER
25,324.21500032,309.27499977142855,VER
