Minisector,PIA,RUS,Fastest
0,321.8654399085235,322.29666103335785,RUS
1,329.4979024521212,332.24397532113517,RUS
2,331.3304107579221,333.1953571428571,RUS
3,197.12763619804696,182.34414054223643,PIA
4,136.5090565425883,128.4700266582619,PIA
5,270.5414950306878,266.8533639376938,PIA
6,302.2381946893444,300.63218096250023,PIA
7,313.84660493827164,315.59535158599897,RUS
8,276.6975214866389,267.63514204031696,PIA
9,152.09670057973233,150.78158478130425,PIA
10,229.99371494947843,226.76892292794278,PIA
11,233.30510131490738,232.0761961451247,PIA
12,213.62214822907936,208.91092605603401,PIA
13,272.302165051529,274.34240749047405,RUS
14,305.87395456701887,310.34714792784314,RUS
15,316.9605417066667,319.87367724867727,RUS
16,277.6882989397691,259.41133867041526,PIA
17,223.46749158770442,228.8953328855053,RUS
18,280.53444958758934,283.58914770053326,RUS
19,310.4568482847484,312.0636111111111,RUS
20,321.22678808126983,320.27998381019216,PIA
21,304.71676033830204,290.0568351158462,PIA
22,224.44964731118296,225.46130946666668,RUS
23,271.3212358011255,275.90876328036694,RUS
24,307.1659466024038,307.937059712774,RUS
25,316.4,,PIA
