Minisector,HAM,SAI,Fastest
0,285.42647123002797,290.4217800292064,SAI
1,121.66221918653517,121.08651304408292,HAM
2,164.17509643753215,171.41489073277802,SAI
3,211.48037165820105,200.83300892850795,HAM
4,160.3216319193896,172.742867079017,SAI
5,243.37697104550267,243.72265438223323,SAI
6,212.3022297635533,209.07714948845714,HAM
7,139.0561502725354,138.41585963269998,HAM
8,234.87419232725026,239.51601365656566,SAI
9,277.4582041,285.73023778024276,SAI
10,287.5515969975655,291.22774175396825,SAI
11,153.90030215050072,154.65819098506591,SAI
12,223.83240868172336,221.88931644568896,HAM
13,272.46166568084465,270.57433438117647,HAM
14,266.8723917173754,260.47963826651653,HAM
15,98.62473555566947,103.72318690808318,SAI
16,223.0830970941203,223.66450006044442,SAI
17,272.07243735278496,275.77580487230625,SAI
18,293.24861730509804,306.6377172939021,SAI
19,304.61158089411765,320.003480604718,SAI
20,309.59732969479325,327.89525467614817,SAI
21,291.8993373125541,270.34143231839926,HAM
22,155.28805848638493,145.89120535232723,HAM
23,235.44653254824635,235.80412926548755,SAI
24,277.28210818362425,283.9724759635153,SAI
