Minisector,LEC,BEA,Fastest
0,269.6220767314286,273.5196300026029,BEA
1,298.4594295755032,300.60378213046386,BEA
2,312.6190903727891,312.46034258924624,LEC
3,321.15029179580955,318.66212133384613,LEC
4,324.9005005244435,320.04359188730075,LEC
5,324.3513323660151,322.07166666039217,LEC
6,208.27471053510692,205.36284734529497,LEC
7,108.38477089022898,106.68165921309928,LEC
8,179.7937712417112,193.55593358810208,BEA
9,258.67246358919397,261.708039290409,BEA
10,288.5097391507003,286.908188865641,LEC
11,161.83063454636394,173.89216477027026,BEA
12,96.30327085932544,97.32589226129848,BEA
13,110.08722144267053,116.2289758404559,BEA
14,221.2473834752532,225.0142521137866,BEA
15,185.34776656644686,189.38490469617395,BEA
16,225.22781426937044,225.25425928301513,BEA
17,177.63993181704518,183.17365103486296,BEA
18,227.98628662932066,234.65746453333335,BEA
19,276.66796394052403,275.96737356817926,LEC
20,258.8334298129323,264.09925032980817,BEA
21,147.96111690715824,149.71392550264892,BEA
22,95.07138157296761,94.68244101454137,LEC
23,121.73475718036158,126.06640878873333,BEA
24,222.1569148695238,220.33852527310657,LEC
25,,255.3624976,BEA
