Minisector,PIA,OCO,Fastest
0,258.52060871657943,258.5583844053907,OCO
1,138.62242979744147,129.73181278497415,PIA
2,272.16297145609184,268.12785255249963,PIA
3,311.40926165376146,312.0495447589234,OCO
4,310.55629510715903,313.17647214670234,OCO
5,318.3803905797088,322.18305855185184,OCO
6,322.85011908266665,327.0319588703704,OCO
7,321.6579349206349,322.2190798533333,OCO
8,203.5160739438164,199.4706730085976,PIA
9,202.25553631371764,205.01436986796605,OCO
10,174.6606629620241,182.2906429076133,OCO
11,182.50766470909556,174.79457097858585,PIA
12,260.6530706647471,258.5187192825397,PIA
13,276.04229842672004,272.4164174716699,PIA
14,286.21088623081295,281.22712913544126,PIA
15,268.23739344641007,260.76608319523683,PIA
16,180.57198101449754,173.7098572111877,PIA
17,202.3738972854975,188.75511631897274,PIA
18,247.93221079056195,250.57720141912037,OCO
19,292.1169111111111,294.2239657825987,OCO
20,311.95848899226297,314.42711734049425,OCO
21,317.905088985089,320.80357499362316,OCO
22,313.4972946656275,316.08751939875776,OCO
23,241.0789393900498,242.16513640694518,OCO
24,125.864287106814,123.2792296161714,PIA
25,234.47000192,,PIA
