Minisector,LEC,TSU,Fastest
0,303.294194976254,289.60136324059465,LEC
1,318.1464255775438,299.8269479168831,LEC
2,324.9298120894074,306.25231143492067,LEC
3,326.8230468324066,303.79830153653086,LEC
4,195.9873971419666,190.7561262006734,LEC
5,205.2692687441013,212.73783991625194,TSU
6,264.66682779602337,263.02856173066664,LEC
7,263.82652485229437,264.5041315840086,TSU
8,185.52445069985993,184.99590484038097,LEC
9,150.65282773101455,148.20835021947372,LEC
10,173.96397438943129,176.32424271723949,TSU
11,256.4891595293906,255.1579357487128,LEC
12,254.28578914708993,244.62498402390713,LEC
13,227.77452725307361,221.34510333777777,LEC
14,270.25034930391166,266.63175232507933,LEC
15,172.6182788606277,173.52248656903598,TSU
16,212.13593694099487,209.5611919873506,LEC
17,244.66366116968945,228.2714775648662,LEC
18,134.21628934027916,131.39545683929967,LEC
19,235.55105611550033,235.52557230951143,LEC
20,276.9492025070051,274.6068038360926,LEC
21,242.6318495292904,238.49493108251215,LEC
22,136.84644867794,138.00879975068753,TSU
23,209.3381590561286,206.2995179302357,LEC
24,268.74602202666665,267.62486289936453,LEC
25,282.5833333333333,,LEC
