Minisector,NOR,HAM,Fastest
0,325.9578537876946,325.52435199818086,NOR
1,334.5781973586472,334.4604630602385,NOR
2,338.1851417150113,338.0723322709915,NOR
3,195.12510126690057,201.8895628171852,HAM
4,131.8287081748818,133.07648781557796,HAM
5,267.50074008683845,265.9595104884656,NOR
6,300.5990941473809,301.69943473902475,HAM
7,317.7474267574269,318.37020069540597,HAM
8,281.145386344127,294.93708072025396,HAM
9,146.98737126728892,144.2281470020049,NOR
10,229.08348523902643,234.13268393005322,HAM
11,234.78333921168314,229.38004548053522,NOR
12,209.0828739703266,209.46681978106795,HAM
13,273.0878974566397,268.1994177666805,NOR
14,308.33527398299054,306.72452452193687,NOR
15,325.2659672875863,324.6675221885714,NOR
16,269.6460819994111,287.79322671205017,HAM
17,223.24730491199597,211.46237911019477,NOR
18,282.1400654118518,276.73873409030654,NOR
19,312.9223168263045,309.47564289490134,NOR
20,326.17598102405105,325.2181796040404,NOR
21,315.6141597790476,324.0891840888889,HAM
22,215.26225605446493,212.84494369676193,NOR
23,271.38212206279945,265.5909352076393,NOR
24,310.1132922467219,302.44007229965763,NOR
25,,311.70624928,HAM
